S.N.,COMMON NAME,BOTANICAL NAME,LOCATION,Description,Uses,IMAGE
7,Bel,Aegle marmelos,"India: Widely distributed across the country, especially in states like Uttar Pradesh, Bihar, West Bengal, Odisha, Madhya Pradesh, and Tamil Nadu.","Aegle marmelos, commonly known as Bel, Bael, or Bengal quince, is a species of tree native to the Indian subcontinent and Southeast Asia. It is revered for its medicinal properties and cultural significance","Medicinal: Aegle marmelos is widely used in traditional medicine. The fruit, leaves, and bark are known for their therapeutic properties2. It is used to treat various ailments such as digestive disorders, respiratory issues, and skin problems.",static\Images\bel.webp
11,Dhania,Coriandrum sativum,"India: Widely grown across the country, especially in states like Rajasthan, Gujarat, Madhya Pradesh, and Tamil Nadu.","Coriandrum sativum, commonly known as Dhania, Coriander, or Cilantro, is an annual herb in the family Apiaceae. It is widely used in culinary and medicinal applications","uses:-Culinary: Both the leaves and seeds are used in cooking. The leaves are often used fresh in salads, soups, and garnishes, while the seeds are used as a spice in various dishes1.",static\Images\dhania.webp
12,Durva,Cynodondactylon,"Widely distributed across the country, especially in temperate climates","Cynodon dactylon, commonly known as Durva, Bermuda Grass, or Doob Grass, is a perennial grass species belonging to the family Poaceae. It is widely recognized for its medicinal properties and cultural significance in Ayurveda",Eye Disorders: Fresh juice from the plant is used as eye drops to reduce redness and burning sensation.,static\Images\durva.webp
,,,,,,
13,Erand,Ricinus communis,"India: Widely distributed across the country, especially in forest areas and roadsides.","Ricinus communis, commonly known as Erand, Castor Oil Plant, or Castor Bean, is a fast-growing perennial shrub or small tree belonging to the family Euphorbiaceae. It is widely recognized for its medicinal properties and industrial uses","axative: Castor oil, extracted from the seeds, is a strong laxative.",static\Images\erand.webp
14,Giloy,Tinospra cordifolia,"location:-Widely distributed across the country, especially in states like Bihar, West Bengal, Kerala, and Karnataka","Tinospora cordifolia, commonly known as Giloy, Guduchi, or Heart-leaved Moonseed, is a herbaceous vine belonging to the family Menispermaceae. It is widely recognized for its medicinal properties and is extensively used in Ayurvedic medicine","Immune Support: Known for its immunomodulatory properties, Giloy helps boost the immune system.",static\Images\giloy.webp
15,Chinese hibiscus,"Hibiscus rosa
sinensis(yellow)","location:-India: Widely grown across the country, especially in tropical and subtropical areas.","Hibiscus rosa-sinensis, commonly known as Chinese Hibiscus or China Rose, is a tropical and subtropical flowering plant belonging to the family Malvaceae. The yellow variety of this plant is particularly striking and adds a vibrant touch to gardens and landscapes.","Ornamental: Widely grown as an ornamental plant in gardens, parks, and landscapes for its attractive flowers.",
16,Harsinghar,Nyctanthes arbor-tritis,"Widely distributed across the country, especially in states like West Bengal, Assam, and the sub-Himalayan region","Nyctanthes arbor-tristis, commonly known as Harsinghar, Night-flowering Jasmine, or Parijat, is a small tree or shrub belonging to the family Oleaceae. It is widely recognized for its fragrant flowers and medicinal properties",Fevers: The plant is used to reduce fevers.,static\Images\harshingar.jpg
,,,,,,
17,Jamun,Syzigiumcumini,"Widely distributed across the country, especially in states like Uttar Pradesh, Bihar, West Bengal, Maharashtra, and Tamil Nadu","amun (Syzygium cumini), also known as Java plum or Indian blackberry, is a tropical fruit-bearing tree native to the Indian subcontinent. Here's a detailed overview:","Culinary: The fruit is consumed fresh, dried, or processed into various products like jams, jellies, and beverages. It is also used to make vinegar and wine",static\Images\jamun.webp
18,Kapas,"Gossypium
herbaccum","Widely distributed across the country, especially in states like Gujarat, Maharashtra, and Tamil Nadu.","Gossypium herbaceum, commonly known as Kapas, Levant Cotton, or Asiatic Cotton, is a species of cotton plant belonging to the family Malvaceae. It is widely cultivated for its cotton fibers and has significant economic and medicinal value.","Cotton Production: Kapas is primarily cultivated for its cotton fibers, which are used to make textiles and clothing",static\Images\kapas.jpg
20,Mogra,Jasminum,"Widely grown across the country, especially in states like Tamil Nadu, Karnataka, and Maharashtra.","Jasminum sambac, commonly known as Mogra, Arabian Jasmine, or Sambac Jasmine, is a species of jasmine native to the Indian subcontinent and Southeast Asia. It is widely cultivated for its fragrant flowers and ornamental value ",Ornamental: Widely grown as an ornamental plant in gardens and landscapes for its attractive and fragrant flowers,static\Images\mogra.jpg
21,Neem,Azadirachta indica,"Widely distributed across the country, from the southern tip of Kerala to the Himalayan hills","Azadirachta indica, commonly known as Neem, Margosa, Nimtree, or Indian Lilac, is a fast-growing evergreen tree belonging to the family Meliaceae. It is widely recognized for its medicinal properties and various uses in traditional medicine, agriculture, and industry","Skin Conditions: Used to treat acne, psoriasis, and eczema.",static\Images\neem.jpg
22,Patharchatta,Bryophhilumpinnatum,"Widely distributed across the country, especially in tropical and subtropical areas.","Bryophyllum pinnatum, commonly known as Patharchatta, Life Plant, or Air Plant, is a succulent perennial plant belonging to the family Crassulaceae. It is widely recognized for its medicinal properties and is extensively used in traditional medicine",Respiratory Issues: Helps alleviate bronchitis and asthma by promoting better lung function and soothing inflamed airways.,static\Images\patharchatta.jpg
